gene_id,Symbol,product,,gene_synonym,EC_number
b0680,glnS,glutamine--tRNA ligase,,ECK0668,6.1.1.18
b4808,chiZ,small regulatory RNA ChiZ,,ECK4665,
b0681,chiP,chitooligosaccharide outer membrane channel,,ECK0669; ybfM,
b0682,chiQ,lipoprotein ChiQ,,ECK0670; ybfN,
b0683,fur,DNA-binding transcriptional dual regulator Fur,,ECK0671,
b4637,uof,RyhB-regulated fur leader peptide,,ECK4461,
b0684,fldA,flavodoxin 1,,ECK0672,
b0685,ybfE,ribbon-helix-helix domain-containing protein YbfE,,ECK0673,
b0686,ybfF,esterase,,ECK0674,
b0687,seqA,negative modulator of initiation of replication,,ECK0675; hsm-1,
b0688,pgm,phosphoglucomutase,,blu; ECK0676,5.4.2.2
b0689,ybfP,lipoprotein YbfP,,ECK0677,
b0691,ybfG,,,b0690; ECK0678; ECK0679; ybfH,
b4636,ybfI,,,ECK4436,
b0692,potE,putrescine transporter PotE,,ECK0680,
b0693,speF,inducible ornithine decarboxylase,,ECK0681,4.1.1.17
b4803,speFL,leader peptide SpeFL,,ECK4660,
b0694,kdpE,DNA-binding transcriptional dual regulator KdpE,,ECK0682,
b0695,kdpD,sensor histidine kinase KdpD,,ECK0683; kac,2.7.13.3
b0696,kdpC,K(+) transporting P-type ATPase subunit KdpC,,ECK0684; kac,7.2.2.6
b0697,kdpB,K(+) transporting P-type ATPase subunit KdpB,,ECK0685; kac,7.2.2.6
b0698,kdpA,K(+) transporting P-type ATPase subunit KdpA,,ECK0686; kac,7.2.2.6
b4513,kdpF,K(+) transporting P-type ATPase subunit KdpF,,ECK0687,7.2.2.6
b0699,ybfA,DUF2517 domain-containing protein YbfA,,ECK0688,
b0700,rhsC,rhs element protein RhsC,,ECK0689,
b0702,ybfB,uncharacterized protein YbfB,,ECK0690,
b0703,ybfO,,,ECK0691,
b0704,ybfC,uncharacterized protein YbfC,,ECK0692,
b4514,ybfQ,inactive transposase YbfQ,,ECK0693,
b0705,ybfL,,,ECK0694,
b0706,ybfD,H repeat-associated putative transposase YbfD,,ECK0695,
b0707,ybgA,DUF1722 domain-containing protein YbgA,,ECK0696; tkp,
b0708,phr,deoxyribodipyrimidine photolyase,,ECK0697; phrB,
b0709,dtpD,dipeptide:H(+) symporter DtpD,,ECK0698; ybgH,
b0710,ybgI,radiation resistance protein YbgI,,ECK0699,
b0711,pxpB,5-oxoprolinase component B,,ECK0700; ybgJ,3.5.2.9
b0712,pxpC,5-oxoprolinase component C,,ECK0701; ybgK,3.5.2.9
b0713,pxpA,5-oxoprolinase component A,,ECK0702; ybgL,3.5.2.9
b0714,nei,endonuclease VIII,,ECK0703,
b0715,abrB,putative regulator,,ECK0704; ybgN,
b0716,ybgO,putative fimbrial protein YbgO,,ECK0705,
b0717,ybgP,putative fimbrial chaperone YbgP,,ECK0706,
b0718,ybgQ,putative fimbrial usher protein YbgQ,,ECK0707,
b0719,ybgD,putative fimbrial protein YbgD,,ECK0708,
b0720,gltA,citrate synthase,,ECK0709; gluT; icdB,2.3.3.16
b4768,ybgV,protein YbgV,,ECK4625,
b4735,ybgU,protein YbgU,,ECK4592,
b0721,sdhC,"succinate:quinone oxidoreductase, membrane protein SdhC",,cybA; cybL; dhsC; ECK0710,1.3.5.1
b0722,sdhD,"succinate:quinone oxidoreductase, membrane protein SdhD",,cybS; dhsD; ECK0711,1.3.5.1
b0723,sdhA,"succinate:quinone oxidoreductase, FAD binding protein",,dhsA; ECK0712,1.3.5.1
b0724,sdhB,"succinate:quinone oxidoreductase, [Fe-S] cluster binding protein",,dhsB; ECK0713,1.3.5.1
b0726,sucA,subunit of E1(0) component of 2-oxoglutarate dehydrogenase,,ECK0714; lys+met,1.2.1.105; 1.2.4.2
b0727,sucB,2-oxoglutarate dehydrogenase E2 subunit,,ECK0715,1.2.1.105; 2.3.1.61
b0728,sucC,succinyl-CoA synthetase subunit beta,,ECK0716,6.2.1.5
b0729,sucD,succinyl-CoA synthetase subunit alpha,,ECK0717,6.2.1.5
b4764,sdhX,small regulatory RNA SdhX,,ECK4621; rybD,
b0730,mngR,DNA-binding transcriptional repressor MngR,,ECK0718; farR; ybgB,
b0731,mngA,2-O-alpha-mannosyl-D-glycerate specific PTS enzyme II,,ECK0719; frx; hrsA,2.7.1.195
b0732,mngB,alpha-mannosidase,,ECK0720; ybgG,
b0733,cydA,cytochrome bd-I subunit 1,,cyd-1; ECK0721,7.1.1.7
b0734,cydB,cytochrome bd-I subunit 2,,cyd-2; ECK0722,7.1.1.7
b4515,cydX,cytochrome bd-I accessory subunit CydX,,ECK0723; ybgT,7.1.1.7
b0735,ybgE,PF09600 family protein YbgE,,ECK0724,
b0736,ybgC,esterase/thioesterase,,ECK0725,
b0737,tolQ,Tol-Pal system protein TolQ,,ECK0726; fii; tolP,
b0738,tolR,Tol-Pal system protein TolR,,ECK0727,
b0739,tolA,Tol-Pal system protein TolA,,cim; ECK0728; excC; lky; tol-2,
b0740,tolB,Tol-Pal system periplasmic protein TolB,,ECK0729; lky; lkyA; tol-3,
b0741,pal,peptidoglycan-associated outer membrane lipoprotein Pal,,ECK0730; excC,
b0742,cpoB,cell division coordinator CpoB,,ECK0731; ybgF,
b0743,lysT,tRNA-Lys,,ECK0732; lysTalpha; sua; supG; supL; Su[beta],
b0744,valT,tRNA-Val,,ECK0733; valTa; valTalpha,
b0745,lysW,tRNA-Lys,,ECK0734; lysT-beta; lysTbeta; su,
b0746,valZ,tRNA-Val,,ECK0735; valTb; valTbeta,
b0747,lysY,tRNA-Lys,,ECK0736; lysTg; lysTgamma,
b0748,lysZ,tRNA-Lys,,ECK0737,
b0749,lysQ,tRNA-Lys,,ECK0738,
b0750,nadA,quinolinate synthase,,ECK0739; nicA,2.5.1.72
b0751,pnuC,nicotinamide riboside transporter,,ECK0740,
b0752,zitB,Zn(2(+))/Cd(2(+))/Ni(2(+))/Cu(2(+)) exporter,,ECK0741; ybgR,
b0753,ybgS,PF13985 family protein YbgS,,ECK0742,
b0754,aroG,"3-deoxy-7-phosphoheptulonate synthase, Phe-sensitive",,ECK0743,2.5.1.54
b0755,gpmA,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",,ECK0744; gpm,5.4.2.11
b0756,galM,galactose-1-epimerase,,ECK0745,
b0757,galK,galactokinase,,ECK0746; galA,2.7.1.6
b0758,galT,galactose-1-phosphate uridylyltransferase,,ECK0747; galB,2.7.7.12
b0759,galE,UDP-glucose 4-epimerase,,ECK0748; galD,5.1.3.2
