gene_id,kegg_pathways,pathway_names,metabolite_group
AT4G00520,ath01040,Biosynthesis of unsaturated fatty acids,organic-acids
AT4G00550,ath00561,Glycerolipid metabolism,other
AT4G00570,ath00620; ath00710,Pyruvate metabolism; Carbon fixation in photosynthetic organisms,other
AT4G01190,ath00562,Inositol phosphate metabolism,alcohol-sugars
AT4G01480,ath00190,Oxidative phosphorylation,other
AT4G01590,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT4G01850,ath00270,Cysteine and methionine metabolism,amino acids
AT4G01950,ath00561; ath00564,Glycerolipid metabolism; Glycerophospholipid metabolism,other
AT4G01970,ath00052,Galactose metabolism,sugar
AT4G02120,ath00240,Pyrimidine metabolism,other
AT4G02280,ath00500,Starch and sucrose metabolism,sugar
AT4G02520,ath00480,Glutathione metabolism,other
AT4G02580,ath00190,Oxidative phosphorylation,other
AT4G02610,ath00260,"Glycine, serine and threonine metabolism",other
AT4G02620,ath00190,Oxidative phosphorylation,other
AT4G02770,ath00195,Photosynthesis,other
AT4G03280,ath00195,Photosynthesis,other
AT4G04040,ath00051,Fructose and mannose metabolism,sugar
AT4G04320,ath00640; ath00410,Propanoate metabolism; beta-Alanine metabolism,amino acids
AT4G04640,ath00190; ath00195,Oxidative phosphorylation; Photosynthesis,other
AT4G04870,ath00564,Glycerophospholipid metabolism,other
AT4G04880,ath00230,Purine metabolism,other
AT4G04930,ath00600,Sphingolipid metabolism,other
AT4G04955,ath00230,Purine metabolism,other
AT4G05020,ath00190,Oxidative phosphorylation,other
AT4G05090,ath00920,Sulfur metabolism,other
AT4G05160,ath00360,Phenylalanine metabolism,amino acids
AT4G05180,ath00195,Photosynthesis,other
AT4G05390,ath00195,Photosynthesis,other
AT4G07950,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT4G08040,ath00270,Cysteine and methionine metabolism,amino acids
AT4G08170,ath00562,Inositol phosphate metabolism,alcohol-sugars
AT4G08390,ath00053; ath00480,Ascorbate and aldarate metabolism; Glutathione metabolism,acid-sugars
AT4G08770,ath00360,Phenylalanine metabolism,amino acids
AT4G08780,ath00360,Phenylalanine metabolism,amino acids
AT4G08870,ath00330,Arginine and proline metabolism,amino acids
AT4G08900,ath00330,Arginine and proline metabolism,amino acids
AT4G08990,ath00270,Cysteine and methionine metabolism,amino acids
AT4G09010,ath00053; ath00480,Ascorbate and aldarate metabolism; Glutathione metabolism,acid-sugars
AT4G09320,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT4G09650,ath00190; ath00195,Oxidative phosphorylation; Photosynthesis,other
AT4G10120,ath00500,Starch and sucrose metabolism,sugar
AT4G10260,ath00051; ath00500; ath00520,Fructose and mannose metabolism; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT4G10340,ath00196,Photosynthesis – antenna proteins,other
AT4G10960,ath00052; ath00520,Galactose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT4G11010,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT4G11030,ath00071,Fatty acid degradation,organic-acids
AT4G11150,ath00190,Oxidative phosphorylation,other
AT4G11280,ath00270,Cysteine and methionine metabolism,amino acids
AT4G11290,ath00360,Phenylalanine metabolism,amino acids
AT4G11600,ath00590; ath00480,Arachidonic acid metabolism; Glutathione metabolism,organic-acids
AT4G11640,ath00260,"Glycine, serine and threonine metabolism",other
