gene_id,kegg_pathways,pathway_names,metabolite_group
AT1G01050,ath00190,Oxidative phosphorylation,other
AT1G01090,ath00010; ath00620; ath00650,Glycolysis / Gluconeogenesis; Pyruvate metabolism; Butanoate metabolism,sugar
AT1G01210,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT1G01220,ath00051; ath00520,Fructose and mannose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT1G01460,ath00562,Inositol phosphate metabolism,alcohol-sugars
AT1G01480,ath00270,Cysteine and methionine metabolism,amino acids
AT1G01610,ath00561; ath00564,Glycerolipid metabolism; Glycerophospholipid metabolism,other
AT1G01710,ath01040,Biosynthesis of unsaturated fatty acids,organic-acids
AT1G02000,ath00500; ath00520,Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT1G02145,ath00510,N-Glycan biosynthesis,other
AT1G02390,ath00561; ath00564,Glycerolipid metabolism; Glycerophospholipid metabolism,other
AT1G02410,ath00190,Oxidative phosphorylation,other
AT1G02500,ath00270,Cysteine and methionine metabolism,amino acids
AT1G02640,ath00500; ath00460,Starch and sucrose metabolism; Cyanoamino acid metabolism,amino acids
AT1G02730,ath00500; ath00520,Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT1G02790,ath00040; ath00500,Pentose and glucuronate interconversions; Starch and sucrose metabolism,sugar
AT1G02920,ath00480,Glutathione metabolism,other
AT1G02940,ath00480,Glutathione metabolism,other
AT1G02950,ath00480,Glutathione metabolism,other
AT1G03090,ath00280,"Valine, leucine and isoleucine degradation",amino acids
AT1G03130,ath00195,Photosynthesis,other
AT1G03600,ath00195,Photosynthesis,other
AT1G04410,ath00620; ath00630; ath00710,Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism; Carbon fixation in photosynthetic organisms,organic-acids
AT1G04610,ath00380,Tryptophan metabolism,amino acids
AT1G04630,ath00190,Oxidative phosphorylation,other
AT1G04680,ath00040,Pentose and glucuronate interconversions,sugar
AT1G04710,ath00071; ath01040; ath00280,"Fatty acid degradation; Biosynthesis of unsaturated fatty acids; Valine, leucine and isoleucine degradation",organic-acids
AT1G04920,ath00500,Starch and sucrose metabolism,sugar
AT1G05010,ath00270,Cysteine and methionine metabolism,amino acids
AT1G05260,ath00360,Phenylalanine metabolism,amino acids
AT1G05590,ath00520; ath00531; ath00603; ath00604; ath00511,Amino sugar and nucleotide sugar metabolism; Glycosaminoglycan degradation; Glycosphingolipid biosynthesis – globo series; Glycosphingolipid biosynthesis – ganglio series; Other glycan degradation,sugar
AT1G05610,ath00500; ath00520,Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT1G06020,ath00051; ath00500; ath00520,Fructose and mannose metabolism; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT1G06030,ath00051; ath00500; ath00520,Fructose and mannose metabolism; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT1G06080,ath01040,Biosynthesis of unsaturated fatty acids,organic-acids
AT1G06290,ath00071; ath00592; ath01040,Fatty acid degradation; alpha-Linolenic acid metabolism; Biosynthesis of unsaturated fatty acids,organic-acids
AT1G06310,ath00071; ath00592; ath01040,Fatty acid degradation; alpha-Linolenic acid metabolism; Biosynthesis of unsaturated fatty acids,organic-acids
AT1G06410,ath00500,Starch and sucrose metabolism,sugar
AT1G06520,ath00561; ath00564,Glycerolipid metabolism; Glycerophospholipid metabolism,other
AT1G06550,ath00640; ath00280; ath00410,"Propanoate metabolism; Valine, leucine and isoleucine degradation; beta-Alanine metabolism",amino acids
AT1G06570,ath00350; ath00360,Tyrosine metabolism; Phenylalanine metabolism,amino acids
AT1G06680,ath00195,Photosynthesis,other
AT1G06780,ath00500; ath00520,Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT1G06790,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT1G07110,ath00051,Fructose and mannose metabolism,sugar
AT1G07230,ath00562; ath00564; ath00565,Inositol phosphate metabolism; Glycerophospholipid metabolism; Ether lipid metabolism,alcohol-sugars
AT1G07420,ath00100,Steroid biosynthesis,other
AT1G07890,ath00053; ath00480,Ascorbate and aldarate metabolism; Glutathione metabolism,acid-sugars
AT1G08065,ath00910,Nitrogen metabolism,other
AT1G08080,ath00910,Nitrogen metabolism,other
AT1G08110,ath00620,Pyruvate metabolism,other
AT1G08200,ath00520,Amino sugar and nucleotide sugar metabolism,sugar
AT1G08260,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT1G08380,ath00195,Photosynthesis,other
AT1G08490,ath00450; ath00730,Selenocompound metabolism; Thiamine metabolism,other
AT1G08510,ath00061,Fatty acid biosynthesis,organic-acids
AT1G08630,ath00260,"Glycine, serine and threonine metabolism",other
AT1G09420,ath00030; ath00480,Pentose phosphate pathway; Glutathione metabolism,sugar
AT1G09780,ath00010,Glycolysis / Gluconeogenesis,sugar
AT1G09795,ath00340,Histidine metabolism,amino acids
AT1G09815,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT1G09830,ath00230,Purine metabolism,other
AT1G10060,ath00280,"Valine, leucine and isoleucine degradation",amino acids
AT1G10070,ath00280,"Valine, leucine and isoleucine degradation",amino acids
AT1G10900,ath00562,Inositol phosphate metabolism,alcohol-sugars
AT1G10960,ath00195,Photosynthesis,other
AT1G11475,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT1G11590,ath00040; ath00500,Pentose and glucuronate interconversions; Starch and sucrose metabolism,sugar
AT1G11680,ath00100,Steroid biosynthesis,other
AT1G11840,ath00620,Pyruvate metabolism,other
AT1G11860,ath00910; ath00260,"Nitrogen metabolism; Glycine, serine and threonine metabolism",other
AT1G11880,ath00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,alcohol-sugars
AT1G11920,ath00040,Pentose and glucuronate interconversions,sugar
AT1G12000,ath00051,Fructose and mannose metabolism,sugar
AT1G12010,ath00270,Cysteine and methionine metabolism,amino acids
AT1G12050,ath00350,Tyrosine metabolism,amino acids
AT1G12230,ath00030,Pentose phosphate pathway,sugar
AT1G12240,ath00052; ath00500,Galactose metabolism; Starch and sucrose metabolism,sugar
AT1G12780,ath00052; ath00520,Galactose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT1G12840,ath00190,Oxidative phosphorylation,other
AT1G12900,ath00710,Carbon fixation in photosynthetic organisms,other
AT1G12990,ath00510,N-Glycan biosynthesis,other
AT1G13280,ath00592,alpha-Linolenic acid metabolism,organic-acids
AT1G13440,ath00010,Glycolysis / Gluconeogenesis,sugar
AT1G13560,ath00564; ath00565,Glycerophospholipid metabolism; Ether lipid metabolism,other
AT1G13700,ath00030,Pentose phosphate pathway,sugar
AT1G14150,ath00195,Photosynthesis,other
AT1G14230,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT1G14240,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT1G14250,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT1G14420,ath00040,Pentose and glucuronate interconversions,sugar
AT1G14520,ath00053; ath00562,Ascorbate and aldarate metabolism; Inositol phosphate metabolism,alcohol-sugars
AT1G14540,ath00360,Phenylalanine metabolism,amino acids
AT1G14550,ath00360,Phenylalanine metabolism,amino acids
AT1G14700,ath00740,Riboflavin metabolism,other
AT1G14810,ath00260; ath00270; ath00300,"Glycine, serine and threonine metabolism; Cysteine and methionine metabolism; Lysine biosynthesis",amino acids
AT1G15110,ath00564,Glycerophospholipid metabolism,other
AT1G15120,ath00190,Oxidative phosphorylation,other
AT1G15690,ath00190,Oxidative phosphorylation,other
AT1G15700,ath00190; ath00195,Oxidative phosphorylation; Photosynthesis,other
AT1G15820,ath00196,Photosynthesis – antenna proteins,other
AT1G16300,ath00010,Glycolysis / Gluconeogenesis,sugar
AT1G16350,ath00230,Purine metabolism,other
AT1G16460,ath00270,Cysteine and methionine metabolism,amino acids
AT1G16570,ath00510,N-Glycan biosynthesis,other
AT1G16700,ath00190,Oxidative phosphorylation,other
AT1G16780,ath00190,Oxidative phosphorylation,other
AT1G16900,ath00510,N-Glycan biosynthesis,other
AT1G16980,ath00500,Starch and sucrose metabolism,sugar
AT1G17000,ath00500,Starch and sucrose metabolism,sugar
AT1G17160,ath00030,Pentose phosphate pathway,sugar
AT1G17260,ath00190,Oxidative phosphorylation,other
AT1G17270,ath00514,O-Glycan biosynthesis,other
AT1G17290,ath00710; ath00250,"Carbon fixation in photosynthetic organisms; Alanine, aspartate and glutamate metabolism",amino acids
AT1G17410,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT1G17420,ath00592,alpha-Linolenic acid metabolism,organic-acids
AT1G17745,ath00260,"Glycine, serine and threonine metabolism",other
AT1G17890,ath00051; ath00520,Fructose and mannose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT1G18500,ath00620,Pyruvate metabolism,other
AT1G18580,ath00500; ath00520,Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT1G18640,ath00260,"Glycine, serine and threonine metabolism",other
AT1G19150,ath00196,Photosynthesis – antenna proteins,other
AT1G19640,ath00592,alpha-Linolenic acid metabolism,organic-acids
AT1G19910,ath00190,Oxidative phosphorylation,other
AT1G19920,ath00920; ath00230; ath00450,Sulfur metabolism; Purine metabolism; Selenocompound metabolism,other
AT1G20020,ath00195,Photosynthesis,other
AT1G20050,ath00100,Steroid biosynthesis,other
AT1G20260,ath00190,Oxidative phosphorylation,other
AT1G20270,ath00330,Arginine and proline metabolism,amino acids
AT1G20330,ath00100,Steroid biosynthesis,other
AT1G20340,ath00195,Photosynthesis,other
AT1G20510,ath00592,alpha-Linolenic acid metabolism,organic-acids
AT1G20575,ath00510,N-Glycan biosynthesis,other
AT1G20620,ath00380,Tryptophan metabolism,amino acids
AT1G20630,ath00380,Tryptophan metabolism,amino acids
AT1G20950,ath00051,Fructose and mannose metabolism,sugar
AT1G21400,ath00280,"Valine, leucine and isoleucine degradation",amino acids
AT1G21980,ath00562,Inositol phosphate metabolism,alcohol-sugars
AT1G22020,ath00260; ath00460,"Glycine, serine and threonine metabolism; Cyanoamino acid metabolism",amino acids
AT1G22430,ath00010; ath00071; ath00350,Glycolysis / Gluconeogenesis; Fatty acid degradation; Tyrosine metabolism,amino acids
AT1G22440,ath00010; ath00071; ath00350,Glycolysis / Gluconeogenesis; Fatty acid degradation; Tyrosine metabolism,amino acids
AT1G22450,ath00190,Oxidative phosphorylation,other
AT1G22940,ath00730,Thiamine metabolism,other
AT1G23190,ath00010; ath00030; ath00052; ath00500; ath00520; ath00230,Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Galactose metabolism; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism; Purine metabolism,sugar
AT1G23310,ath00710; ath00250,"Carbon fixation in photosynthetic organisms; Alanine, aspartate and glutamate metabolism",amino acids
AT1G23730,ath00910,Nitrogen metabolism,other
AT1G23800,ath00010; ath00040; ath00053; ath00620; ath00640; ath00071; ath00561; ath00280; ath00330; ath00340; ath00380; ath00410,"Glycolysis / Gluconeogenesis; Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism; Pyruvate metabolism; Propanoate metabolism; Fatty acid degradation; Glycerolipid metabolism; Valine, leucine and isoleucine degradation; Arginine and proline metabolism; Histidine metabolism; Tryptophan metabolism; beta-Alanine metabolism",amino acids
AT1G23820,ath00270; ath00330; ath00410; ath00480,Cysteine and methionine metabolism; Arginine and proline metabolism; beta-Alanine metabolism; Glutathione metabolism,amino acids
AT1G24100,ath00380,Tryptophan metabolism,amino acids
AT1G24110,ath00360,Phenylalanine metabolism,amino acids
AT1G24180,ath00010; ath00620; ath00650,Glycolysis / Gluconeogenesis; Pyruvate metabolism; Butanoate metabolism,sugar
AT1G24280,ath00030; ath00480,Pentose phosphate pathway; Glutathione metabolism,sugar
AT1G24320,ath00510,N-Glycan biosynthesis,other
AT1G24360,ath00061; ath01040,Fatty acid biosynthesis; Biosynthesis of unsaturated fatty acids,organic-acids
AT1G24735,ath00360,Phenylalanine metabolism,amino acids
AT1G26560,ath00500; ath00460,Starch and sucrose metabolism; Cyanoamino acid metabolism,amino acids
AT1G26570,ath00040; ath00053; ath00500; ath00520,Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT1G27450,ath00230,Purine metabolism,other
AT1G27680,ath00500; ath00520,Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT1G27980,ath00600,Sphingolipid metabolism,other
AT1G29900,ath00240; ath00250,"Pyrimidine metabolism; Alanine, aspartate and glutamate metabolism",amino acids
AT1G29910,ath00196,Photosynthesis – antenna proteins,other
AT1G29920,ath00196,Photosynthesis – antenna proteins,other
AT1G29930,ath00196,Photosynthesis – antenna proteins,other
AT1G29940,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT1G30000,ath00510,N-Glycan biosynthesis,other
AT1G30120,ath00010; ath00620; ath00650,Glycolysis / Gluconeogenesis; Pyruvate metabolism; Butanoate metabolism,sugar
AT1G30350,ath00040,Pentose and glucuronate interconversions,sugar
AT1G30380,ath00195,Photosynthesis,other
AT1G30510,ath00195,Photosynthesis,other
AT1G30620,ath00520,Amino sugar and nucleotide sugar metabolism,sugar
AT1G30820,ath00240,Pyrimidine metabolism,other
AT1G30870,ath00360,Phenylalanine metabolism,amino acids
AT1G31070,ath00520,Amino sugar and nucleotide sugar metabolism,sugar
AT1G31190,ath00562,Inositol phosphate metabolism,alcohol-sugars
AT1G31220,ath00230,Purine metabolism,other
AT1G31230,ath00260; ath00270; ath00300,"Glycine, serine and threonine metabolism; Cysteine and methionine metabolism; Lysine biosynthesis",amino acids
AT1G31330,ath00195,Photosynthesis,other
AT1G31860,ath00340,Histidine metabolism,amino acids
AT1G32060,ath00710,Carbon fixation in photosynthetic organisms,other
AT1G32200,ath00561; ath00564,Glycerolipid metabolism; Glycerophospholipid metabolism,other
AT1G32210,ath00510,N-Glycan biosynthesis,other
AT1G32380,ath00030; ath00230,Pentose phosphate pathway; Purine metabolism,sugar
AT1G32440,ath00010; ath00620; ath00710; ath00230,Glycolysis / Gluconeogenesis; Pyruvate metabolism; Carbon fixation in photosynthetic organisms; Purine metabolism,sugar
AT1G32550,ath00195,Photosynthesis,other
AT1G32710,ath00190,Oxidative phosphorylation,other
AT1G32780,ath00010; ath00071; ath00350,Glycolysis / Gluconeogenesis; Fatty acid degradation; Tyrosine metabolism,amino acids
AT1G33320,ath00920; ath00270; ath00450,Sulfur metabolism; Cysteine and methionine metabolism; Selenocompound metabolism,amino acids
AT1G34130,ath00510,N-Glycan biosynthesis,other
AT1G34430,ath00010; ath00620,Glycolysis / Gluconeogenesis; Pyruvate metabolism,sugar
AT1G34510,ath00360,Phenylalanine metabolism,amino acids
AT1G36160,ath00620; ath00640; ath00061,Pyruvate metabolism; Propanoate metabolism; Fatty acid biosynthesis,organic-acids
AT1G36280,ath00230; ath00250,"Purine metabolism; Alanine, aspartate and glutamate metabolism",amino acids
AT1G36370,ath00260; ath00460,"Glycine, serine and threonine metabolism; Cyanoamino acid metabolism",amino acids
AT1G37130,ath00910,Nitrogen metabolism,other
AT1G42970,ath00710,Carbon fixation in photosynthetic organisms,other
AT1G43670,ath00010; ath00030; ath00051; ath00710,Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Fructose and mannose metabolism; Carbon fixation in photosynthetic organisms,sugar
AT1G43710,ath00340,Histidine metabolism,amino acids
AT1G43800,ath00061; ath01040,Fatty acid biosynthesis; Biosynthesis of unsaturated fatty acids,organic-acids
AT1G44170,ath00010; ath00040; ath00053; ath00620; ath00640; ath00071; ath00561; ath00280; ath00330; ath00340; ath00380; ath00410,"Glycolysis / Gluconeogenesis; Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism; Pyruvate metabolism; Propanoate metabolism; Fatty acid degradation; Glycerolipid metabolism; Valine, leucine and isoleucine degradation; Arginine and proline metabolism; Histidine metabolism; Tryptophan metabolism; beta-Alanine metabolism",amino acids
AT1G44180,ath00330,Arginine and proline metabolism,amino acids
AT1G44575,ath00195,Photosynthesis,other
AT1G44820,ath00330,Arginine and proline metabolism,amino acids
AT1G44970,ath00360,Phenylalanine metabolism,amino acids
AT1G45474,ath00196,Photosynthesis – antenna proteins,other
AT1G47840,ath00010; ath00051; ath00052; ath00500; ath00520,Glycolysis / Gluconeogenesis; Fructose and mannose metabolism; Galactose metabolism; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT1G48030,ath00010; ath00620; ath00260; ath00280,"Glycolysis / Gluconeogenesis; Pyruvate metabolism; Glycine, serine and threonine metabolism; Valine, leucine and isoleucine degradation",amino acids
AT1G48130,ath00360,Phenylalanine metabolism,amino acids
AT1G48140,ath00510,N-Glycan biosynthesis,other
AT1G48470,ath00910; ath00250; ath00330,"Nitrogen metabolism; Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism",amino acids
AT1G49140,ath00190,Oxidative phosphorylation,other
AT1G49340,ath00562,Inositol phosphate metabolism,alcohol-sugars
AT1G49430,ath00071,Fatty acid degradation,organic-acids
AT1G49570,ath00360,Phenylalanine metabolism,amino acids
AT1G50090,ath00280,"Valine, leucine and isoleucine degradation",amino acids
AT1G50110,ath00280,"Valine, leucine and isoleucine degradation",amino acids
AT1G50430,ath00100,Steroid biosynthesis,other
AT1G50460,ath00010; ath00051; ath00052; ath00500; ath00520,Glycolysis / Gluconeogenesis; Fructose and mannose metabolism; Galactose metabolism; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT1G50840,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT1G51260,ath00561; ath00564,Glycerolipid metabolism; Glycerophospholipid metabolism,other
AT1G51590,ath00510,N-Glycan biosynthesis,other
AT1G51650,ath00190,Oxidative phosphorylation,other
AT1G51680,ath00360,Phenylalanine metabolism,amino acids
AT1G51720,ath00910; ath00250; ath00330,"Nitrogen metabolism; Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism",amino acids
AT1G52230,ath00195,Photosynthesis,other
AT1G53030,ath00190,Oxidative phosphorylation,other
AT1G53240,ath00620; ath00630; ath00710,Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism; Carbon fixation in photosynthetic organisms,organic-acids
AT1G53310,ath00620; ath00710,Pyruvate metabolism; Carbon fixation in photosynthetic organisms,other
AT1G53500,ath00520,Amino sugar and nucleotide sugar metabolism,sugar
AT1G53770,ath00514,O-Glycan biosynthesis,other
AT1G53830,ath00040; ath00500,Pentose and glucuronate interconversions; Starch and sucrose metabolism,sugar
AT1G54100,ath00010; ath00053; ath00620; ath00640; ath00071; ath00561; ath00260; ath00280; ath00300; ath00330; ath00340; ath00380; ath00410,"Glycolysis / Gluconeogenesis; Ascorbate and aldarate metabolism; Pyruvate metabolism; Propanoate metabolism; Fatty acid degradation; Glycerolipid metabolism; Glycine, serine and threonine metabolism; Valine, leucine and isoleucine degradation; Lysine biosynthesis; Arginine and proline metabolism; Histidine metabolism; Tryptophan metabolism; beta-Alanine metabolism",amino acids
AT1G54220,ath00010; ath00620,Glycolysis / Gluconeogenesis; Pyruvate metabolism,sugar
AT1G54250,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT1G54340,ath00480,Glutathione metabolism,other
AT1G55020,ath00592,alpha-Linolenic acid metabolism,organic-acids
AT1G55180,ath00564; ath00565,Glycerophospholipid metabolism; Ether lipid metabolism,other
AT1G55510,ath00280,"Valine, leucine and isoleucine degradation",amino acids
AT1G55570,ath00053,Ascorbate and aldarate metabolism,acid-sugars
AT1G55670,ath00195,Photosynthesis,other
AT1G55810,ath00240,Pyrimidine metabolism,other
AT1G55880,ath00920; ath00270,Sulfur metabolism; Cysteine and methionine metabolism,amino acids
AT1G55920,ath00920; ath00270,Sulfur metabolism; Cysteine and methionine metabolism,amino acids
AT1G56190,ath00010; ath00710,Glycolysis / Gluconeogenesis; Carbon fixation in photosynthetic organisms,sugar
AT1G58080,ath00340,Histidine metabolism,amino acids
AT1G58180,ath00910,Nitrogen metabolism,other
AT1G58440,ath00100,Steroid biosynthesis,other
AT1G59900,ath00010; ath00620; ath00650,Glycolysis / Gluconeogenesis; Pyruvate metabolism; Butanoate metabolism,sugar
AT1G60140,ath00500,Starch and sucrose metabolism,sugar
AT1G60490,ath00562,Inositol phosphate metabolism,alcohol-sugars
AT1G60890,ath00562,Inositol phosphate metabolism,alcohol-sugars
AT1G60950,ath00195,Photosynthesis,other
AT1G61050,ath00603,Glycosphingolipid biosynthesis – globo series,other
AT1G61280,ath00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,alcohol-sugars
AT1G61520,ath00196,Photosynthesis – antenna proteins,other
AT1G61700,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT1G61820,ath00500; ath00460,Starch and sucrose metabolism; Cyanoamino acid metabolism,amino acids
AT1G62380,ath00270,Cysteine and methionine metabolism,amino acids
AT1G62430,ath00564,Glycerophospholipid metabolism,other
AT1G62640,ath00061,Fatty acid biosynthesis,organic-acids
AT1G62660,ath00052; ath00500,Galactose metabolism; Starch and sucrose metabolism,sugar
AT1G62800,ath00710; ath00250; ath00270; ath00330; ath00350; ath00360,"Carbon fixation in photosynthetic organisms; Alanine, aspartate and glutamate metabolism; Cysteine and methionine metabolism; Arginine and proline metabolism; Tyrosine metabolism; Phenylalanine metabolism",amino acids
AT1G62940,ath00360,Phenylalanine metabolism,amino acids
AT1G63000,ath00520,Amino sugar and nucleotide sugar metabolism,sugar
AT1G63110,ath00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,alcohol-sugars
AT1G63180,ath00052; ath00520,Galactose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT1G63290,ath00030; ath00040; ath00710,Pentose phosphate pathway; Pentose and glucuronate interconversions; Carbon fixation in photosynthetic organisms,sugar
AT1G63380,ath00061; ath01040,Fatty acid biosynthesis; Biosynthesis of unsaturated fatty acids,organic-acids
AT1G63460,ath00590; ath00480,Arachidonic acid metabolism; Glutathione metabolism,organic-acids
AT1G63660,ath00230,Purine metabolism,other
AT1G63770,ath00480,Glutathione metabolism,other
AT1G64190,ath00030; ath00480,Pentose phosphate pathway; Glutathione metabolism,sugar
AT1G64200,ath00190,Oxidative phosphorylation,other
AT1G64400,ath00071,Fatty acid degradation,organic-acids
AT1G64440,ath00052; ath00520,Galactose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT1G64660,ath00270; ath00450,Cysteine and methionine metabolism; Selenocompound metabolism,amino acids
AT1G64710,ath00010; ath00071; ath00350,Glycolysis / Gluconeogenesis; Fatty acid degradation; Tyrosine metabolism,amino acids
AT1G65060,ath00360,Phenylalanine metabolism,amino acids
AT1G65290,ath00190,Oxidative phosphorylation,other
AT1G65590,ath00520; ath00531; ath00603; ath00604; ath00511,Amino sugar and nucleotide sugar metabolism; Glycosaminoglycan degradation; Glycosphingolipid biosynthesis – globo series; Glycosphingolipid biosynthesis – ganglio series; Other glycan degradation,sugar
AT1G65820,ath00480,Glutathione metabolism,other
AT1G65930,ath00480,Glutathione metabolism,other
AT1G65960,ath00650; ath00250; ath00410; ath00430,"Butanoate metabolism; Alanine, aspartate and glutamate metabolism; beta-Alanine metabolism; Taurine and hypotaurine metabolism",amino acids
AT1G66430,ath00051; ath00500; ath00520,Fructose and mannose metabolism; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT1G67070,ath00051; ath00520,Fructose and mannose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT1G67090,ath00630; ath00710,Glyoxylate and dicarboxylate metabolism; Carbon fixation in photosynthetic organisms,organic-acids
AT1G67280,ath00620,Pyruvate metabolism,other
AT1G67320,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT1G67490,ath00510,N-Glycan biosynthesis,other
AT1G67550,ath00230; ath00330,Purine metabolism; Arginine and proline metabolism,amino acids
AT1G67560,ath00592,alpha-Linolenic acid metabolism,organic-acids
AT1G67630,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT1G67740,ath00195,Photosynthesis,other
AT1G67750,ath00040,Pentose and glucuronate interconversions,sugar
AT1G67880,ath00510,N-Glycan biosynthesis,other
AT1G68000,ath00562; ath00564,Inositol phosphate metabolism; Glycerophospholipid metabolism,alcohol-sugars
AT1G68020,ath00500,Starch and sucrose metabolism,sugar
AT1G68750,ath00620; ath00710,Pyruvate metabolism; Carbon fixation in photosynthetic organisms,other
AT1G68850,ath00360,Phenylalanine metabolism,amino acids
AT1G69770,ath00270,Cysteine and methionine metabolism,amino acids
AT1G69820,ath00590; ath00430; ath00460; ath00480,Arachidonic acid metabolism; Taurine and hypotaurine metabolism; Cyanoamino acid metabolism; Glutathione metabolism,amino acids
AT1G70310,ath00270; ath00330; ath00410; ath00480,Cysteine and methionine metabolism; Arginine and proline metabolism; beta-Alanine metabolism; Glutathione metabolism,amino acids
AT1G70410,ath00910,Nitrogen metabolism,other
AT1G70580,ath00710; ath00250,"Carbon fixation in photosynthetic organisms; Alanine, aspartate and glutamate metabolism",amino acids
AT1G70730,ath00010; ath00030; ath00052; ath00500; ath00520; ath00230,Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Galactose metabolism; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism; Purine metabolism,sugar
AT1G71100,ath00030; ath00710,Pentose phosphate pathway; Carbon fixation in photosynthetic organisms,sugar
AT1G71695,ath00360,Phenylalanine metabolism,amino acids
AT1G71750,ath00230,Purine metabolism,other
AT1G71920,ath00340; ath00350; ath00360,Histidine metabolism; Tyrosine metabolism; Phenylalanine metabolism,amino acids
AT1G72330,ath00710; ath00250,"Carbon fixation in photosynthetic organisms; Alanine, aspartate and glutamate metabolism",amino acids
AT1G72520,ath00592,alpha-Linolenic acid metabolism,organic-acids
AT1G72810,ath00260; ath00750,"Glycine, serine and threonine metabolism; Vitamin B6 metabolism",other
AT1G72880,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT1G72990,ath00052; ath00600; ath00531; ath00604; ath00511,Galactose metabolism; Sphingolipid metabolism; Glycosaminoglycan degradation; Glycosphingolipid biosynthesis – ganglio series; Other glycan degradation,sugar
AT1G73050,ath00460,Cyanoamino acid metabolism,amino acids
AT1G73250,ath00051; ath00520,Fructose and mannose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT1G73370,ath00500,Starch and sucrose metabolism,sugar
AT1G74030,ath00010,Glycolysis / Gluconeogenesis,sugar
AT1G74040,ath00620,Pyruvate metabolism,other
AT1G74100,ath00380,Tryptophan metabolism,amino acids
AT1G74210,ath00564,Glycerophospholipid metabolism,other
AT1G74260,ath00230,Purine metabolism,other
AT1G74340,ath00510; ath00563,N-Glycan biosynthesis; Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,alcohol-sugars
AT1G74540,ath00360,Phenylalanine metabolism,amino acids
AT1G74550,ath00360,Phenylalanine metabolism,amino acids
AT1G74920,ath00260,"Glycine, serine and threonine metabolism",other
AT1G74960,ath00061,Fatty acid biosynthesis,organic-acids
AT1G75020,ath00561; ath00564,Glycerolipid metabolism; Glycerophospholipid metabolism,other
AT1G75280,ath00640,Propanoate metabolism,organic-acids
AT1G75330,ath00330,Arginine and proline metabolism,amino acids
AT1G75630,ath00190,Oxidative phosphorylation,other
AT1G76030,ath00190,Oxidative phosphorylation,other
AT1G76090,ath00100,Steroid biosynthesis,other
AT1G76100,ath00195,Photosynthesis,other
AT1G76400,ath00510,N-Glycan biosynthesis,other
AT1G76550,ath00051,Fructose and mannose metabolism,sugar
